127.0.0.1 - - [24/Mar/2022:09:22:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:22:43 +0900] "GET /02_HTML5/Ex20.html HTTP/1.1" 200 18017
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:22:44 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:29:09 +0900] "GET /05_JavaScript/08_BOM/Ex01.html HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:29:16 +0900] "GET /05_JavaScript/08_BOM/Ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:31:29 +0900] "GET /05_JavaScript/08_BOM/Ex01.html HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:39:32 +0900] "GET /05_JavaScript/08_BOM/Ex02.html HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:40:01 +0900] "GET /05_JavaScript/08_BOM/Ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:40:02 +0900] "GET /05_JavaScript/08_BOM/Ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:40:02 +0900] "GET /05_JavaScript/08_BOM/Ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:40:02 +0900] "GET /05_JavaScript/08_BOM/Ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:40:02 +0900] "GET /05_JavaScript/08_BOM/Ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:40:03 +0900] "GET /05_JavaScript/08_BOM/Ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:09:40:11 +0900] "GET /05_JavaScript/08_BOM/Ex02.html HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:07:28 +0900] "GET /05_JavaScript/08_BOM/Exam_01.html HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:07:30 +0900] "GET /05_JavaScript/08_BOM/Exam_02.html HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:08:04 +0900] "GET /05_JavaScript/08_BOM/Exam_03.html HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:08:14 +0900] "GET /05_JavaScript/08_BOM/Exam_04.html HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:14:27 +0900] "GET /05_JavaScript/08_BOM/Exam_01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:14:29 +0900] "GET /05_JavaScript/08_BOM/Exam_02.html HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:14:35 +0900] "GET /05_JavaScript/08_BOM/Exam_03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:15:00 +0900] "GET /05_JavaScript/08_BOM/Exam_04.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:15:05 +0900] "GET /05_JavaScript/08_BOM/Exam_04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:15:33 +0900] "GET /05_JavaScript/08_BOM/Exam_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:16:04 +0900] "GET /05_JavaScript/08_BOM/Exam_03.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [24/Mar/2022:10:16:10 +0900] "GET /05_JavaScript/08_BOM/Exam_02.html HTTP/1.1" 304 -
