127.0.0.1 - - [18/Mar/2022:09:22:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:22:06 +0900] "GET /03_CSS3/Ex01.html HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:22:07 +0900] "GET /favicon.ico HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:23:00 +0900] "GET /03_CSS3/Ex01.html HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:23:34 +0900] "GET /03_CSS3/Ex01.html HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:24:50 +0900] "GET /03_CSS3/Ex01.html HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:27:03 +0900] "GET /03_CSS3/Ex02.html HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:28:32 +0900] "GET /03_CSS3/Ex02.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:28:48 +0900] "GET /03_CSS3/Ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:29:12 +0900] "GET /03_CSS3/Ex02.html HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:29:46 +0900] "GET /03_CSS3/Ex02.html HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:30:37 +0900] "GET /03_CSS3/Ex02.html HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:36:08 +0900] "GET /03_CSS3/Ex03.html HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:37:48 +0900] "GET /03_CSS3/Ex03.html HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:40:49 +0900] "GET /03_CSS3/Ex04.html HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:45:04 +0900] "GET /03_CSS3/Ex04.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:48:53 +0900] "GET /03_CSS3/Ex04.html HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:48:54 +0900] "GET /03_CSS3/Ex04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:49:05 +0900] "GET /03_CSS3/Ex04.html HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [18/Mar/2022:09:49:05 +0900] "GET /03_CSS3/css/style.css HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:04:05 +0900] "GET /03_CSS3/Ex05.html HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:04:05 +0900] "GET /03_CSS3/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:06:37 +0900] "GET /03_CSS3/Ex05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:06:37 +0900] "GET /03_CSS3/css/style.css HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:12:14 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:13:13 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:14:40 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:14:51 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:17:06 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:18:36 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:18:36 +0900] "GET /03_CSS3/images/beauty.jpg HTTP/1.1" 200 31139
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:19:56 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:19:56 +0900] "GET /03_CSS3/images/img.jpg HTTP/1.1" 200 48552
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:21:15 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:22:17 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:22:34 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:22:58 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:22:59 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:23:40 +0900] "GET /03_CSS3/Ex06.html HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:25:58 +0900] "GET /03_CSS3/Ex07.html HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:27:07 +0900] "GET /03_CSS3/Ex07.html HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:28:43 +0900] "GET /03_CSS3/Ex07.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:29:02 +0900] "GET /03_CSS3/Ex07.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:29:40 +0900] "GET /03_CSS3/Ex07.html HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:35:45 +0900] "GET /03_CSS3/Ex07.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [18/Mar/2022:10:38:59 +0900] "GET /03_CSS3/Ex08.html HTTP/1.1" 200 426
